c_1_r,c_1_g,c_1_b,c_2_r,c_2_g,c_2_b,c_3_r,c_3_g,c_3_b,c_4_r,c_4_g,c_4_b,c_5_r,c_5_g,c_5_b,style
169,168,168,37,44,60,224,222,221,148,160,184,206,214,223,business
222,229,233,235,233,228,232,236,235,129,96,74,181,155,126,business
253,251,251,251,236,238,249,253,251,179,165,152,247,171,177,cute
254,238,181,72,71,118,122,78,43,108,157,216,64,29,10,cute
133,134,139,207,209,212,127,126,132,215,207,202,226,205,217,cute
254,252,249,241,250,248,250,244,247,246,249,251,174,164,172,cute
199,223,231,245,213,220,155,191,205,247,237,233,166,201,212,cute
1,153,145,245,230,220,51,49,46,208,7,46,230,117,16,cute
252,231,63,248,217,1,183,166,14,238,227,186,205,181,87,cute
150,155,166,94,99,110,31,38,44,100,92,96,203,206,217,cute
228,224,228,235,233,239,218,156,99,53,99,136,41,28,21,cute
108,81,71,61,38,32,177,148,140,87,54,44,13,27,37,cute
189,157,135,52,33,18,121,90,66,223,207,195,60,100,127,cute
223,213,206,189,160,139,128,95,71,223,225,230,224,219,222,cute
240,239,244,242,239,243,149,167,151,236,232,220,171,168,132,cute
30,18,9,199,155,116,126,91,58,228,207,185,0,0,3,cute
226,222,216,222,216,217,193,165,139,98,123,32,69,115,37,cute
157,200,235,248,237,245,135,166,216,158,195,233,201,127,160,cute
253,251,246,234,248,242,252,239,246,249,227,103,241,247,251,cute
252,189,207,226,126,158,246,224,218,236,168,187,223,253,250,cute
254,237,243,248,239,233,232,251,247,169,155,140,127,109,77,cute
246,243,225,187,234,247,247,232,241,239,157,197,241,246,244,cute
252,249,244,237,247,245,211,165,94,252,242,244,229,171,18,cute
246,238,217,94,181,71,239,210,54,208,31,49,178,20,35,cute
218,231,183,202,208,139,196,163,127,117,93,74,64,43,27,cute
253,224,181,221,167,117,252,152,163,176,244,200,247,197,219,cute
183,234,250,176,182,230,251,246,226,242,251,248,250,235,240,cute
252,251,251,253,212,221,250,253,252,248,249,251,70,69,74,cute
253,252,249,251,222,223,216,228,238,248,253,252,163,159,150,cute
89,189,197,245,235,186,206,232,237,101,189,182,214,235,229,cute
254,254,253,253,247,249,248,253,252,175,158,113,232,244,247,cute
253,228,238,249,243,224,115,91,73,182,161,144,233,245,233,cute
251,225,209,243,221,240,253,221,110,205,243,237,60,57,59,cute
238,160,166,247,194,198,248,231,227,220,159,166,229,168,167,cute
184,176,166,251,245,235,241,251,248,210,132,155,252,243,247,cute
250,236,230,248,225,239,253,214,112,199,242,237,235,243,248,cute
227,227,241,252,242,241,252,235,241,249,253,252,160,160,160,cute
254,253,250,253,227,243,193,240,250,246,253,250,250,231,99,cute
243,235,231,119,185,169,237,123,117,229,238,235,241,235,238,cute
253,242,235,252,214,85,250,254,253,240,244,247,254,252,254,cute
102,192,198,248,216,67,105,192,190,236,250,248,251,206,0,cute
245,230,182,207,151,96,110,84,55,65,46,18,214,195,147,cute
212,243,234,250,237,228,252,202,210,135,223,218,93,207,202,cute
251,251,241,207,244,225,210,214,126,119,225,185,85,214,168,cute
163,128,188,249,205,221,252,248,231,184,237,250,216,249,243,cute
250,249,248,250,226,228,248,252,250,247,247,249,cute
254,254,254,252,235,243,249,254,253,225,240,247,215,132,161,cute
241,239,231,193,226,230,206,232,229,105,188,195,240,235,237,cute
251,229,225,249,214,227,237,248,241,226,228,236,183,175,173,cute
253,209,206,252,211,215,228,169,70,189,231,247,250,158,191,cute
